,X,Y,PID,SSL,PROPERTYNAME,PMPARENTPROPERTYID,PARENTPROPERTYNAME,REPORTINGYEAR,REPORTSTATUS,ADDRESSOFRECORD,OWNEROFRECORD,WARD,POSTALCODE,YEARBUILT,PRIMARYPROPERTYTYPE_SELFSELECT,PRIMARYPROPERTYTYPE_EPACALC,TAXRECORDFLOORAREA,REPORTEDBUILDINGGROSSFLOORAREA,ENERGYSTARSCORE,SITEEUI_KBTU_FT,WEATHERNORMALZEDSITEEUI_KBTUFT,SOURCEEUI_KBTU_FT,WEATHERNORMALZEDSOUREUI_KBTUFT,TOTGHGEMISSIONS_METRICTONSCO2E,TOTGHGEMISSINTENSITY_KGCO2EFT,WATERSCORE_MFPROPERTIES,WATERUSE_ALLWATERSOURCES_KGAL,METEREDAREAS_ENERGY,METEREDAREAS_WATER,NATURALGASUSE_THERMS,FUELOILANDDIESELFUELUSEKBTU,ADDRESSID,XCOORD,YCOORD,GIS_LAST_MOD_DTTM,DISTRCHILLEDWATER_KBTU,DISTRHOTWATER_KBTU,DISTRSTEAM_KBTU,ELECTRICITYUSE_RENEWABLE_KWH,ELECTRICITYUSE_GRID_KWH,NATURALGAS_KBTU_JANUARY,NATURALGAS_KBTU_FEBRUARY,NATURALGAS_KBTU_MARCH,NATURALGAS_KBTU_APRIL,NATURALGAS_KBTU_MAY,NATURALGAS_KBTU_JUNE,NATURALGAS_KBTU_JULY,NATURALGAS_KBTU_AUGUST,NATURALGAS_KBTU_SEPTEMBER,NATURALGAS_KBTU_OCTOBER,NATURALGAS_KBTU_NOVEMBER,NATURALGAS_KBTU_DECEMBER,ELECTRICITYUSE_KBTU_JANUARY,ELECTRICITYUSE_KBTU_FEBRUARY,ELECTRICITYUSE_KBTU_MARCH,ELECTRICITYUSE_KBTU_APRIL,ELECTRICITYUSE_KBTU_MAY,ELECTRICITYUSE_KBTU_JUNE,ELECTRICITYUSE_KBTU_JULY,ELECTRICITYUSE_KBTU_AUGUST,ELECTRICITYUSE_KBTU_SEPTEMBER,ELECTRICITYUSE_KBTU_OCTOBER,ELECTRICITYUSE_KBTU_NOVEMBER,ELECTRICITYUSE_KBTU_DECEMBER,LASTUPDATE
18992,-77.02051336,38.92406534,PM4060706,3057    0092,Locke Hall,4060094,Sub Station Buildings,2012,In Compliance,2440 6TH ST NW,HOWARD UNIVERSITY,1.0,,1867.0,College/University,College/University,1095275,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,291439.0,398221.3904,139576.0874,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021/01/31 00:00:00+00
18993,-77.02051336,38.92406534,PM4060706,3057    0092,Locke Hall,4060094,Sub Station Buildings,2013,Data Under Review by DOEE,2440 6TH ST NW,HOWARD UNIVERSITY,1.0,20059,1867.0,College/University,,1095275,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,291439.0,398221.3904,139576.0874,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021/01/31 00:00:00+00
18994,-77.02051336,38.92406534,PM4060706,3057    0092,Locke Hall,4060094,Sub Station Buildings,2014,Data Under Review by DOEE,2440 6TH ST NW,HOWARD UNIVERSITY,1.0,20001,1964.0,College/University,College/University,1095275,68821.0,,0.0,0.0,0.0,0.0,0.0,0.0,,4490.6,Whole Building,,0.0,0.0,291439.0,398221.3904,139576.0874,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021/01/31 00:00:00+00
18995,-77.01853082,38.92646672,PM4060706,3057    0092,Locke Hall,4060094,Sub Station Buildings,2015,Data Under Review by DOEE,2440 6TH ST NW,HOWARD UNIVERSITY,1.0,20059,1964.0,College/University,College/University,1095275,68821.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1600.1,Whole Building,,0.0,0.0,291439.0,398393.3602,139842.6244,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021/01/31 00:00:00+00
18996,-77.01853082,38.92646672,PM4060706,3057    0092,Locke Hall,4060094,Sub Station Buildings,2016,Data Under Review by DOEE,2440 6TH ST NW,HOWARD UNIVERSITY  (LAND ONLY),1.0,20059,1964.0,College/University,College/University,1095275,68821.0,,0.0,0.0,0.0,0.0,0.0,0.0,,3023.6,Whole Building,,0.0,0.0,291439.0,398393.3602,139842.6244,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021/01/31 00:00:00+00
18997,-77.01853082,38.92646672,PM4060706,3057    0092,Locke Hall,4060094,Sub Station Buildings,2017,In Compliance,2440 6TH ST NW,HOWARD UNIVERSITY  (LAND ONLY),1.0,20059,1964.0,College/University,College/University,1095275,68821.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2826.6,Whole Building,,0.0,0.0,291439.0,398393.3602,139842.6244,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021/01/31 00:00:00+00
18998,-77.01945818,38.92068217,PM4060707,3069    0065,Louis Stokes Library,4060094,Sub Station Buildings,2010,Data Under Review by DOEE,525 BRYANT STREET NW,HOWARD UNIVERSITY,1.0,20059,1992.0,College/University,College/University,68440,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,291463.0,398312.8101,139200.5075,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022/02/04 00:00:00+00
18999,-77.01945818,38.92068217,PM4060707,3069    0065,Louis Stokes Library,4060094,Sub Station Buildings,2012,Data Under Review by DOEE,525 BRYANT STREET NW,HOWARD UNIVERSITY,1.0,20059,1992.0,College/University,College/University,68440,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,291463.0,398312.8101,139200.5075,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022/02/04 00:00:00+00
19000,-77.01936853,38.92015903,PM4060707,3069    0065,Louis Stokes Library,4060094,Sub Station Buildings,2013,In Compliance,0515 BRYANT ST NW,HOWARD UNIVERSITY,1.0,20059,1867.0,College/University,,68440,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,291463.0,398320.5718,139142.4325,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022/02/04 00:00:00+00
19005,-77.02030806,38.91795668,PM4060708,3075    0807,Medical School,4060094,Sub Station Buildings,2011,In Compliance,2041 - 2121 GEORGIA AV NW,HOWARD UNIVERSITY,1.0,,1927.0,College/University,College/University,1427564,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,291435.0,398239.0419,138897.9706,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022/02/04 00:00:00+00
